Timestamp,Quality,Type,ID,Alarm State,Resource,Reference,Message
 06/29/21  15:25:39.441,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 02
 06/29/21  15:25:38.691,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 03
 06/29/21  15:25:32.441,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 03
 06/29/21  15:25:31.691,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 03
 06/29/21  15:25:16.441,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 02
 06/29/21  15:25:15.941,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 02
 06/29/21  15:25:08.441,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 02
 06/29/21  15:25:07.941,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 02
 06/29/21  15:25:04.441,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 02
 06/29/21  15:25:03.941,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 02
 06/29/21  15:24:56.691,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 02
 06/29/21  15:24:55.941,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 02
 06/29/21  15:24:55.191,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 03
 06/29/21  15:24:54.441,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 03
 06/29/21  15:24:51.941,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 03
 06/29/21  15:24:51.191,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 03
 06/29/21  15:24:50.941,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 02
 06/29/21  15:24:50.191,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 02
 06/29/21  15:24:36.941,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 03
 06/29/21  15:24:35.941,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 03
 06/29/21  15:24:22.691,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 03
 06/29/21  15:24:21.941,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 03
 06/29/21  15:24:14.691,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 03
 06/29/21  15:24:13.941,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 03
 06/29/21  15:24:11.441,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 03
 06/29/21  15:24:10.691,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 03
 06/29/21  15:24:09.191,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 03
 06/29/21  15:24:08.441,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 03
 06/29/21  15:24:08.191,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 02
 06/29/21  15:24:07.941,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 02
 06/29/21  15:24:05.941,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 02
 06/29/21  15:24:05.191,,BSYS,0064-3,,SCS0118,SCS0118,SCS0118  FIO-BUS Recover FIO BUS No.1
 06/29/21  15:24:05.191,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 03
 06/29/21  15:24:04.941,,BSYS,0063-1,,SCS0118,SCS0118,SCS0118  FIO-BUS Fail    FIO BUS No.1
 06/29/21  15:24:04.941,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 02
 06/29/21  15:24:04.441,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 03
 06/29/21  15:23:55.691,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 03
 06/29/21  15:23:54.941,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 03
 06/29/21  15:23:53.191,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 03
 06/29/21  15:23:52.441,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 03
 06/29/21  15:23:40.441,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 02
 06/29/21  15:23:39.941,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 02
 06/29/21  15:23:36.691,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 03
 06/29/21  15:23:35.941,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 03
 06/29/21  15:23:27.941,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 03
 06/29/21  15:23:27.191,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 03
 06/29/21  15:23:11.191,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 02
 06/29/21  15:23:10.941,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 02
 06/29/21  15:23:05.691,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 02
 06/29/21  15:23:04.941,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 02
 06/29/21  15:22:58.691,,BSYS,0088-3,,SCS0118,SCS0118,SCS0118  NODE Recover FIO NODE 03
 06/29/21  15:22:57.941,,BSYS,0087-1,,SCS0118,SCS0118,SCS0118  NODE Fail    FIO NODE 03
